id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_7,p4_8,p4_9,p4_10,p5,p6,p7a_1,p7a_2,p7a_3,p7a_4,p7a_5,p7a_6,p7a_7,p7a_8,p7b_1,p7b_2,p7b_3,p7b_4,p7b_5,p7b_6,p7b_7,p7b_8,p7b_9,p8_1,p8_2,p8_3,p8_4,p8_5,p8_6,p8_7,p8_8,p9,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p11_1,p11_2,p11_3,p11_4,p11_5,p11_6,p11_7,p11_8,p11_9,p11_10,p11_11,p11_12,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p14_4,p14_5,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p16_9,p17_1,p17_2,p17_3,p17_4,p17_5,p17_6,p17_7,p17_8,p17_9,p17_10,p17_11,p17_12,p17_13,p17_14,p17_15,p17_16,p17_17,p17_18,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p18_7,p18_8,p18_9,p18_10,p18_11,p18_12,p18_13,p18_14,p19,p20_1,p20_2,p20_3,p20_4,p20_5,p20_6,p20_7,p20_8,p20_9,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p21_7,p21_8,p22,p22_titulo,p22_autor,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p23_7,p23_8,p23_9,p23_10,p24_1,p24_2,p24_3,p24_4,p24_5,p24_6,p24_7,p24_8,p24_9,p24_10,p24_11,p24_12,p24_13,p25a_1,p25a_2,p25a_3,p25a_4,p25a_5,p25a_6,p25a_7,p25a_8,p25a_9,p25a_10,p25a_11,p25a_12,p25a_13,p25a_14,p25a_15,p25a_16,p25a_17,p25b_1,p25b_2,p25b_3,p25b_4,p25b_5,p25b_6,p25b_7,p25b_8,p25b_9,p25b_10,p25b_11,p25b_12,p25b_13,p25b_14,p25b_15,p25b_16,p25b_17,p25b_18,p25b_19,p25b_20,p25b_21,p25c,p26,p26_titulo,p26_autor,p27,p27_titulo,p27_autor,p28,p29,p30,gen_r,gen_sex,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
1.0,Mujer,69.0,65+,10.001 - 20.000,Girona,Cataluña,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Ahorro/se ahorra un poco de dinero cada mes,PSOE (Partido Socialista Obrero Español),5,Alguna vez al mes,Todos o casi todos los días,Todos o casi todos los días,Nunca,Nunca,Nunca,Nunca,Nunca,Todos o casi todos los días,Nunca,Entre 2 y 3,Leo menos libros ahora,,,,,,,,,Not Selected,Not Selected,,,Not Selected,Not Selected,Not Selected,Selected,Not Selected,"Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre",Menos de 10,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Más de 15 minutos y hasta 30 minutos,Más de 15 minutos y hasta 30 minutos,Más de 30 minutos y hasta 1 hora,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Siempre,Nunca,Nunca,Poco,Nada,Nada,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Mucho,Mucho,Mucho,Nada,Nada,Nada,Poco,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Sí,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Nada,Nada,Nada,Poco,Bastante,Nada,Nada,,,,,,,,,,,,,,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,Depende del tema,No,,,No suelo regalar libros,,,No especifica,"Si, me gustaría leer un poco más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",1.34931523598412
2.0,Mujer,47.0,45-54,< 10.000,"Rioja, La","Rioja, La","Sí, con uno/a de 0 a 8 años",Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,A2,Ahorro/se ahorra un poco de dinero cada mes,PP (Partido Popular),8,Una o dos veces por semana,Todos o casi todos los días,Nunca,Todos o casi todos los días,Casi nunca,Todos o casi todos los días,Nunca,Alguna vez al mes,Nunca,Todos o casi todos los días,Ninguno,Leo menos libros ahora,,,,,,,,,Not Selected,Not Selected,Selected,,Selected,Selected,Not Selected,Selected,Not Selected,"Si, siempre",No lo recuerdo,"Si, siempre",No lo recuerdo,"Si, siempre",No lo recuerdo,"Si, siempre","Si, a veces",Más de 50 y hasta 100,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,15 minutos o menos,15 minutos o menos,Más de 30 minutos y hasta 1 hora,Siempre,Nunca,Nunca,Nunca,Algunas veces,Nunca,Casi nunca,Nunca,Nunca,Poco,Mucho,Poco,Mucho,Poco,Mucho,Poco,Bastante,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,No,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Mucho,Nada,Bastante,Nada,Nada,Nada,Mucho,,,,,,,,,,,,,,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Si,No,No,Si,Si,Si,No,Si,Si,No,No,No,No,No,No,No,Si,No,Si,Depende del tema,No,,,No suelo regalar libros,,,Arturo Pérez-Reverte,"Si, me gustaría leer mucho más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Generacion X,Mujer [Generacion X],Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",0.9371558775284886
3.0,Hombre,39.0,35-44,< 10.000,Badajoz,Extremadura,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,PSOE (Partido Socialista Obrero Español),4,Alguna vez al trimestre,Tres o cuatro veces por semana,Alguna vez al mes,Alguna vez al mes,Nunca,Nunca,Nunca,Alguna vez al mes,Nunca,Todos o casi todos los días,Entre 2 y 3,Leo menos libros ahora,,,,,,,,,Selected,Not Selected,,,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,"Si, a veces","No, nunca","No, nunca","No, nunca","Si, a veces","Si, a veces","Si, a veces","No, nunca",Más de 50 y hasta 100,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Los leo algunas veces en la lengua original,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Más de 15 minutos y hasta 30 minutos,Más de 15 minutos y hasta 30 minutos,Más de 15 minutos y hasta 30 minutos,Siempre,Nunca,Nunca,Casi nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Poco,Poco,Nada,Nada,Poco,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,Poco,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Sí,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Poco,Bastante,Nada,Nada,Bastante,Poco,Bastante,Bastante,Sí,Caballo de Troya,J. J. Benítez,,,,,,,,,,,No,No,No,Sí,No,No,Sí,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Si,Si,No,Si,No,Si,Si,No,Si,Si,Si,Si,Si,No,No,No,Si,No,Si,No,Si,"Leer libros de divulgación, más accesibles, dirigidos a todo el público",No,,,"Regalo libros, pero ninguno de autores/as españoles/as",,,Antonio Gala,"Si, me gustaría leer un poco más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Millennials,Hombre [Millennials],Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.1006708251621629
4.0,Mujer,69.0,65+,< 10.000,Ourense,Galicia,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)	",A2,Llego/se llega justo a final de mes,PP (Partido Popular),8,Una o dos veces por semana,Tres o cuatro veces por semana,Todos o casi todos los días,Tres o cuatro veces por semana,Alguna vez al trimestre,Todos o casi todos los días,Nunca,Tres o cuatro veces por semana,Una o dos veces por semana,Todos o casi todos los días,Entre 2 y 3,Leo menos libros ahora,,,,,,,,,Selected,Not Selected,Not Selected,,Selected,Not Selected,Not Selected,Not Selected,Not Selected,"No, nunca","No, nunca","No, nunca",No lo recuerdo,"Si, a veces",No lo recuerdo,"No, nunca","No, nunca",Entre 10 y 50,A menudo,Casi nunca,Casi nunca,Casi nunca,Nunca,Algunas veces,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,No suelo leer libros que no estén escritos originalmente en castellano,Los leo siempre en la lengua original,No suelo leer libros que no estén escritos originalmente en castellano,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Más de 15 minutos y hasta 30 minutos,Más de 30 minutos y hasta 1 hora,Más de 1 hora y hasta 2 horas,Siempre,Nunca,Nunca,Algunas veces,Algunas veces,Nunca,Casi nunca,Casi nunca,Nunca,Bastante,Mucho,Bastante,Mucho,Bastante,Mucho,Bastante,Mucho,Mucho,Poco,Poco,Mucho,Bastante,Bastante,Bastante,Nada,Bastante,Mucho,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Sí,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Mucho,Poco,Nada,Poco,Bastante,Bastante,Mucho,,,,,,,,,,,,,,Sí,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Si,Si,No,No,Si,No,No,No,No,Si,No,No,No,Si,No,No,Si,Si,No,Si,Depende del tema,Sí,La sombra del viento,Carlos Ruiz Zafón,No suelo regalar libros,,,Javier Marías,"Si, me gustaría leer mucho más","No pertenezco a ningún grupo o club de lectura actualmente, pero me gustaría",Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, primer ciclo y menos",0.994697394005214
5.0,Hombre,63.0,55-64,50.001 - 100.000,Cádiz,Andalucía,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)	",D,Ahorro/se ahorra un poco de dinero cada mes,PSOE (Partido Socialista Obrero Español),3,Casi nunca,Todos o casi todos los días,Alguna vez al mes,Todos o casi todos los días,Una o dos veces por semana,Casi nunca,Alguna vez al trimestre,Alguna vez al trimestre,Alguna vez al mes,Todos o casi todos los días,Ninguno,Leo menos libros ahora,,,,,,,,,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,"Si, siempre","Si, a veces","Si, a veces","Si, a veces","Si, a veces","Si, siempre","Si, siempre","Si, a veces",Entre 10 y 50,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,Sí,Sí,No,Sí,Sí,No,Sí,No,No,Sí,No,No,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,15 minutos o menos,15 minutos o menos,Más de 30 minutos y hasta 1 hora,Con frecuencia,Nunca,Nunca,Casi nunca,Nunca,Nunca,Siempre,Nunca,Nunca,Bastante,Poco,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,Bastante,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,No,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Poco,Poco,Bastante,Poco,Bastante,Bastante,Bastante,,,,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Si, me gustaría leer un poco más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",1.4541483220512952
6.0,Mujer,84.0,65+,100.001 - 500.000,Almería,Andalucía,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,He tenido/se ha tenido que echar mano del ahorro,PP (Partido Popular),10 Extrema derecha,Todos o casi todos los días,Todos o casi todos los días,Tres o cuatro veces por semana,Casi nunca,Nunca,Todos o casi todos los días,Nunca,Nunca,Casi nunca,Tres o cuatro veces por semana,Entre 4 y 6,Leo menos libros ahora,,,,,,,,,Not Selected,Not Selected,Not Selected,,Not Selected,Selected,Selected,Not Selected,Not Selected,"Si, siempre","No, nunca","Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre","Si, siempre",Más de 50 y hasta 100,Siempre,Siempre,Nunca,Nunca,Nunca,Nunca,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Los leo siempre traducidos al castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Más de 15 minutos y hasta 30 minutos,15 minutos o menos,Más de 30 minutos y hasta 1 hora,Siempre,Siempre,Nunca,Algunas veces,Casi nunca,Casi nunca,Algunas veces,Casi nunca,Casi nunca,Mucho,Mucho,Nada,Bastante,Mucho,Nada,Poco,Nada,Bastante,Poco,Bastante,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Sí,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Mucho,Poco,Poco,Mucho,Bastante,Mucho,Mucho,Sí,No especifica,No especifica,,,,,,,,,,,Sí,Sí,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Si,Si,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,No,"Leer libros de divulgación, más accesibles, dirigidos a todo el público",No,,,Si,Las hijas de la criada,Sonsoles Ónega ,Juan Gómez-Jurado,"No, ya dedico el tiempo que quiero a leer","No pertenezco a ningún grupo o club de lectura actualmente, pero me gustaría",Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",0.9424798699358794
7.0,Mujer,72.0,65+,50.001 - 100.000,Barcelona,Cataluña,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,He tenido/se ha tenido que contraer deuda,PP (Partido Popular),5,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Nunca,Todos o casi todos los días,Nunca,Todos o casi todos los días,Nunca,Todos o casi todos los días,Entre 4 y 6,Leo menos libros ahora,,,,,,,,,Not Selected,Not Selected,Not Selected,,Not Selected,Not Selected,Selected,Not Selected,Not Selected,"Si, a veces","No, nunca","No, nunca","No, nunca","Si, a veces","No, nunca","No, nunca","No, nunca",Más de 50 y hasta 100,A menudo,A menudo,Nunca,Nunca,Algunas veces,Nunca,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,Los leo siempre traducidos al castellano,Los leo algunas veces en la lengua original,Los leo siempre traducidos al castellano,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Más de 1 hora y hasta 2 horas,Más de 1 hora y hasta 2 horas,Más de 1 hora y hasta 2 horas,Siempre,Nunca,Nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Nunca,Nunca,Poco,Bastante,Poco,Bastante,Poco,Poco,Poco,Poco,Bastante,Poco,Poco,Mucho,Mucho,Bastante,Poco,Nada,Poco,Poco,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Sí,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Nada,Bastante,Bastante,Poco,Mucho,Bastante,Poco,Bastante,No,,,,,,,,,,,,,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,"Leer libros de divulgación, más accesibles, dirigidos a todo el público",No,,,No suelo regalar libros,,,Ildefonso Falcones,"Si, me gustaría leer mucho más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",1.0845150655084503
8.0,Hombre,67.0,65+,< 10.000,Cáceres,Extremadura,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,E2,He tenido/se ha tenido que echar mano del ahorro,No voté,5,Alguna vez al trimestre,Todos o casi todos los días,Todos o casi todos los días,Casi nunca,Casi nunca,Nunca,Nunca,Nunca,Alguna vez al mes,Tres o cuatro veces por semana,Entre 4 y 6,Leo más libros ahora,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,,,,,,,,,,No lo recuerdo,"Si, a veces","Si, a veces","Si, a veces","Si, a veces","Si, a veces","Si, a veces","No, nunca",Menos de 10,Siempre,Nunca,Nunca,Nunca,Nunca,Nunca,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Más de 30 minutos y hasta 1 hora,Más de 30 minutos y hasta 1 hora,Más de 30 minutos y hasta 1 hora,Siempre,Nunca,Nunca,Algunas veces,Nunca,Nunca,Nunca,Nunca,Nunca,Poco,Poco,Bastante,Bastante,Bastante,Bastante,Poco,Poco,Poco,Nada,Poco,Mucho,Bastante,Bastante,Poco,Poco,Nada,Poco,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,No,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Nada,Bastante,Poco,Mucho,Nada,Nada,Poco,Poco,,,,,,,,,,,,,,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,No,No,No,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,Si,No,No,No,No,No,No,Si,Si,Si,Si,Si,No,No,No,No,No,Si,No,Si,"Leer libros de divulgación, más accesibles, dirigidos a todo el público",No,,,No suelo regalar libros,,,Arturo Pérez-Reverte,"Si, me gustaría leer mucho más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",1.556402882534475
9.0,Hombre,57.0,55-64,< 10.000,Valencia/València,Comunitat Valenciana,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Ahorro/se ahorra un poco de dinero cada mes,PSOE (Partido Socialista Obrero Español),3,Todos o casi todos los días,Todos o casi todos los días,Una o dos veces por semana,Todos o casi todos los días,Casi nunca,Todos o casi todos los días,Nunca,Nunca,Todos o casi todos los días,Todos o casi todos los días,Entre 11 y 15,Leo la misma cantidad de libros,,,,,,,,,,,,,,,,,,"Si, a veces","Si, siempre","Si, siempre","Si, a veces","Si, siempre","Si, a veces","Si, siempre","Si, a veces",Más de 100 y hasta 200,Algunas veces,Siempre,Nunca,Casi nunca,Nunca,Nunca,Sí,No,Sí,No,No,No,No,Sí,No,Sí,Sí,No,Los leo siempre traducidos al castellano,Los leo algunas veces en la lengua original,Los leo siempre traducidos al castellano,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Más de 15 minutos y hasta 30 minutos,Más de 30 minutos y hasta 1 hora,Más de 30 minutos y hasta 1 hora,Siempre,Casi nunca,Casi nunca,Casi nunca,Algunas veces,Casi nunca,Algunas veces,Casi nunca,Casi nunca,Bastante,Bastante,Poco,Bastante,Bastante,Poco,Nada,Nada,Bastante,Poco,Bastante,Bastante,Bastante,Bastante,Poco,Nada,Poco,Poco,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Sí,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Nada,Bastante,Bastante,Poco,Bastante,Mucho,Bastante,Bastante,No,,,,,,,,,,,,,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,Si,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,"Leer libros de divulgación, más accesibles, dirigidos a todo el público",Sí,El niño que perdió la guerra,Julia Navarro,No suelo regalar libros,,,Julia Navarro,"Si, me gustaría leer mucho más","No pertenezco a ningún grupo o club de lectura actualmente, pero me gustaría",Generacion X,Hombre [Generacion X],Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.2120770565620058
10.0,Mujer,62.0,55-64,50.001 - 100.000,Bizkaia,País Vasco,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,A2,Ahorro/se ahorra un poco de dinero cada mes,PP (Partido Popular),8,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,Casi nunca,Nunca,Nunca,Nunca,Casi nunca,Todos o casi todos los días,Entre 11 y 15,Leo más libros ahora,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,,,,,,,,,,"Si, siempre","Si, a veces","No, nunca","Si, a veces","Si, siempre","Si, a veces","Si, siempre","No, nunca",Más de 50 y hasta 100,A menudo,Siempre,Nunca,Nunca,A menudo,Nunca,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,No suelo leer libros que no estén escritos originalmente en castellano,Not Selected,Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Más de 30 minutos y hasta 1 hora,Más de 1 hora y hasta 2 horas,Más de 1 hora y hasta 2 horas,Siempre,Casi nunca,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Algunas veces,Poco,Bastante,Bastante,Bastante,Bastante,Nada,Nada,Poco,Bastante,Poco,Poco,Mucho,Bastante,Bastante,Bastante,Nada,Poco,Poco,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Sí,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Bastante,Poco,Mucho,Bastante,Nada,Mucho,Bastante,Nada,,,,,,,,,,,,,,No,Sí,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Si,Si,No,No,No,No,Si,Si,No,Si,Si,Si,Si,No,No,Si,Si,Si,Si,No,Si,Depende del tema,No,,,No suelo regalar libros,,,Miguel de Cervantes,"Si, me gustaría leer mucho más",No pertenezco a ningún grupo o club de lectura y tampoco me gustaría,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",0.8206636108909063
